LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
9547507704,05/01/2020,0464,PPP,"SUMTER COATINGS, INC.",2410 Highway 15 South,Sumter,,29150-9662,12/18/2020,Paid in Full,24,100,769358.78,769358.78,0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,N,N,Existing or more than 2 years old,Sumter,SUMTER,SC,29150-9662,SC-05,62,325510,Unanswered,Unknown/NotStated,,769358.78,,,,,,Corporation,19248,Synovus Bank,COLUMBUS,GA,Unanswered,Unanswered,,773553.37,11/20/2020
9777677704,05/01/2020,0464,PPP,"PLEASANT PLACES, INC.",7684 Southrail Road,North Charleston,,29420-9000,09/28/2021,Paid in Full,24,100,736927.79,736927.79,0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,Y,Y,Existing or more than 2 years old,North Charleston,CHARLESTON,SC,29420-9000,SC-06,73,561730,White,Unknown/NotStated,,736927.79,,,,,,Sole Proprietorship,19248,Synovus Bank,COLUMBUS,GA,Male Owned,Non-Veteran,,746336.24,08/12/2021
5791407702,05/01/2020,1013,PPP,BOYER CHILDREN'S CLINIC,1850 BOYER AVE E,SEATTLE,,98112-2922,03/17/2021,Paid in Full,24,100,691355,691355,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SEATTLE,KING,WA,98112-2922,WA-07,75,,Unanswered,Unknown/NotStated,,691355,,,,,,Non-Profit Organization,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,Y,696677.49,02/10/2021
6223567700,05/01/2020,0920,PPP,KIRTLEY CONSTRUCTION INC,1661 MARTIN RANCH RD,SAN BERNARDINO,,92407-1740,10/16/2021,Paid in Full,24,100,499871,499871,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SAN BERNARDINO,SAN BERNARDINO,CA,92407-1740,CA-23,21,236115,American Indian or Alaska Native,Not Hispanic or Latino,,499871,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,395264.11,09/10/2021
9662437702,05/01/2020,0101,PPP,AERO BOX LLC,N/A,N/A,,,08/17/2021,Paid in Full,24,100,367437,367437,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,N/A,,NA,N/A,,25,484210,Unanswered,Unknown/NotStated,,367437,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,370819.35,04/08/2021
9774337701,05/01/2020,0101,PPP,HUDSON EXTRUSIONS INC.,N/A,N/A,,,11/17/2021,Paid in Full,24,100,328840,328840,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,N/A,,NA,N/A,,22,326199,Unanswered,Unknown/NotStated,,328840,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,332137.41,05/10/2021
9794577700,05/01/2020,0491,PPP,FRUIT COVE BAPTIST CHURCH OF JACKSONVILLE FL INC,501 State Road 13,Saint Johns,,32259-2832,02/19/2021,Paid in Full,24,100,289765,289765,0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,N,N,Existing or more than 2 years old,Saint Johns,SAINT JOHNS,FL,32259-2832,FL-05,89,813110,Unanswered,Unknown/NotStated,,289765,,,,,,Non-Profit Organization,19248,Synovus Bank,COLUMBUS,GA,Unanswered,Unanswered,Y,291741.75,01/07/2021
9722187702,05/01/2020,0101,PPP,MIAMITOWN AUTO PARTS AND RECYCLING INC,N/A,N/A,,,02/24/2021,Paid in Full,24,100,272380,272380,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,N/A,,NA,N/A,,19,423140,Unanswered,Unknown/NotStated,,272380,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,269416.44,01/25/2021
9725917702,05/01/2020,0101,PPP,POPPYCOCKS INC,N/A,N/A,,,08/17/2021,Paid in Full,24,100,257088,257088,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,N/A,,NA,N/A,,18,444220,Unanswered,Unknown/NotStated,,257088,,,,,,Subchapter S Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,259982.88,06/24/2021
9666867710,05/01/2020,0101,PPP,CHURCH SQUARE PHARMACY INC,N/A,N/A,,,04/21/2021,Paid in Full,24,100,250000,250000,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,N/A,,NA,N/A,,17,424210,Unanswered,Unknown/NotStated,,250000,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,252253.42,03/31/2021
9662697710,05/01/2020,0101,PPP,"MILFAST INDUSTRIAL SUPPLY, INC",N/A,N/A,,,11/17/2021,Paid in Full,24,100,174046,174046,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,N/A,,NA,N/A,,18,423840,Unanswered,Unknown/NotStated,,174046,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,175643.41,04/06/2021
